"filename", "language", "C++", "YAML", "Markdown", "C", "CSS", "HTML", "XML", "SCSS", "GLSL", "Python", "ShaderLab", "Objective-C", "Shell Script", "Batch", "Objective-C++", "reStructuredText", "CMake", "Makefile", "Java", "Rust", "Docker", "C#", "JavaScript", "HLSL", "comment", "blank", "total"
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assxml\AssxmlFileWriter.cpp", "C++", 496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 81, 663
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assxml\AssxmlFileWriter.h", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 7, 65
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\B3D\B3DImporter.cpp", "C++", 522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 132, 744
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\B3D\B3DImporter.h", "C++", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 23, 133
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\BVH\BVHLoader.cpp", "C++", 325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 74, 529
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\BVH\BVHLoader.h", "C++", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 36, 171
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderBMesh.cpp", "C++", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 25, 184
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderBMesh.h", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 13, 95
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderCustomData.cpp", "C++", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 22, 183
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderCustomData.h", "C++", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 9, 90
